,house name,house price,house bed,house location,description
0,Appartements neufs à louer 4 1/2 !,"1,655.00",,West Island 31/01/2023,"Appartements 3 1/2 , 4 1/2 et 5 1/2 de disponibles !!! Économisez avec notre formule tout-incus: 5 électro-ménagers en inox Élétricité (Hydro-Québec) Wifi haute vitesse Locker 1 espace de ..."
1,LE VUE - Condo locatif St-Romuald - 3 1/2 + à 5 1/2,"1,530.00",,Lévis 30/01/2023,UNITÉ MODÈLE À VISITER! CONTEMPLEZ LA VUE QU'OFFRE NOS APPARTEMENTS! Venez nous visiter ! Notre équipe se fera un plaisir de vous répondre. Emplacement exceptionnel et Vue imprenable sur le fleuve ...
2,Great location in Uplands! 2 bedroom unit available.,"1,085.00",,Regina 27/01/2023,"SUNRISE GARDENS - REGINA, SK Neighborhood: Sunrise Gardens is situated in a park like setting in a quiet residential Uplands. Residents can enjoy a walk in the beautifully landscaped grounds or relax ... 2 Bedroom"
3,"OVILA Condos - Beau, Grand & Neuf dans HoMa! (Juillet 2023)","1,750.00",,City of Montréal < 18 hours ago,"JUILLET 2023 ovilacondos.com Soyez les premiers à emménager dans ce tout nouveau projet de condos locatifs qui vous offrent de grands espaces et une qualité de construction exceptionnelle, le tout ..."
4,Grand condo 3 1/2 avec bureau / Gorgeous 3 1/2 condo with office,"1,700.00",,City of Montréal 10/01/2023,"Beau condo à louer. Peut être loué entièrement meublé si vous le désirez, dans ce cas le Prix sera à discuté. . Situé dans le très recherché secteur de Saint-Laurent Ouest, le magnifique et très bien ..."
5,"*Dispo Juillet, 4 ½ rénover qualité condo, faire vite !","1,040.00",,Québec < 2 hours ago,"*Dispo Juillet, 4 rénover qualité condo, faire vite ! Prix 1040$ Inclus 1. Conciergerie sur place 2. Caméra 3. Laveuse sécheuse superposer dans lapparte 4. Four et frigo (Au besoin négo) Exclus 1. ..."
6,Condos à Louer 4 1/2 près Carrefour Laval/Centropolis,"1,965.00",,Laval < 2 hours ago,"LOUEZ VOTRE NOUVEAU CONDO PRÈS DU CARREFOUR LAVAL ET CENTROPOLIS! Près des autoroutes 440, 15 et 13. Autobus qui vous amène à la station de métro Montmorency. DISPONIBLE: 1 mars 2023 Condo 4-1/2, ... Les gros PLUS qui font LA différence"
7,Riverside Drive Condo for Rent,"1,850.00",,Windsor < 2 hours ago,Welcome home to this updated unit in the Waterpark Place. A fantastic downtown building with excellent management and immediate occupancy. This spacious and functional layout offers stunning views of ...
8,Condo Lumineux 4.5 à Louer,"1,375.00",,Montréal < 3 hours ago,2400 Boul Tricentenaire Lumineux 4.5 à louer avec balcon et un auvent grandeur du balcon pour 01 Mars 2023/ INCLUANT 1- Stationnement extérieur déneigé – laveuse/sécheuse/AC inclus. 2 chambres ...
9,"magnifique condo a louer. Ahuntsic,montréal","1,600.00",,Montréal < 5 hours ago,"4 1\2 a louer, eau chaude fourni, foyer gaz naturel, parking intérieur, poele-frigidaire-lave vaissel ,soleil toute la journée-sécurité,ascenseur"
10,Furnished 2 Bed Executive Condo For Rent,"1,850.00",,Winnipeg < 6 hours ago,"Beautiful contemporary space. 2 queen bedrooms. S/S appliances. Balcony. Close to Misericordia and Health Sciences Hospitals, UofW, MB Leg and downtown. Covered parking. Will consider month to month, ..."
11,SPARKLING 1 BR+DEN Luxury Condo LARGEST-in-Tower-2 GARMENTStDTK,"2,000.00",,Kitchener < 7 hours ago,Welcome to 800 sq ft of sheer luxury - the LARGEST 1BR+DEN CONDO in the NEWER Tower-2 at 104 GARMENT St. in the famous INNOVATION DISTRICT - within the commercial hub of Down-Town-Kitchener DTK! ...
12,Downtown Brand new 2 Bedroom condo available now,"1,150.00",,Edmonton < 10 hours ago,Halfway between grand Mceven and Royal Alex hospital is this brand new 2 bedroom located for $ 1150.00 a month that included heat and water .this unit come with 6 pieces of stainless steel appliances ...
13,Beau Condo 4 1/2 avec garage a 5 min du metro!,"1,995.00",,Montréal < 10 hours ago,"View on parc, interior parking, 5 min walking distance to metro Namur, next to all services, 1 and a half bathroom. 2 bedrooms. Non smoking, storage unit."
14,Fully Renovated 2-Bedroom Apartment Condo in the West End,"1,150.00",,Edmonton < 10 hours ago,"Great location, beside a nice green space and two elementary schools (public and Catholic), near West Edmonton Mall, hospital, near the highways and on major transit routes. Fully renovated Ikea ..."
